Ano;dia;Semana;Chave
2014;29/12/2013;1;201401
2014;30/12/2013;1;201401
2014;31/12/2013;1;201401
2014;01/01/2014;1;201401
2014;02/01/2014;1;201401
2014;03/01/2014;1;201401
2014;04/01/2014;1;201401
2014;05/01/2014;2;201402
2014;06/01/2014;2;201402
2014;07/01/2014;2;201402
2014;08/01/2014;2;201402
2014;09/01/2014;2;201402
2014;10/01/2014;2;201402
2014;11/01/2014;2;201402
2014;12/01/2014;3;201403
2014;13/01/2014;3;201403
2014;14/01/2014;3;201403
2014;15/01/2014;3;201403
2014;16/01/2014;3;201403
2014;17/01/2014;3;201403
2014;18/01/2014;3;201403
2014;19/01/2014;4;201404
2014;20/01/2014;4;201404
2014;21/01/2014;4;201404
2014;22/01/2014;4;201404
2014;23/01/2014;4;201404
2014;24/01/2014;4;201404
2014;25/01/2014;4;201404
2014;26/01/2014;5;201405
2014;27/01/2014;5;201405
2014;28/01/2014;5;201405
2014;29/01/2014;5;201405
2014;30/01/2014;5;201405
2014;31/01/2014;5;201405
2014;01/02/2014;5;201405
2014;02/02/2014;6;201406
2014;03/02/2014;6;201406
2014;04/02/2014;6;201406
2014;05/02/2014;6;201406
2014;06/02/2014;6;201406
2014;07/02/2014;6;201406
2014;08/02/2014;6;201406
2014;09/02/2014;7;201407
2014;10/02/2014;7;201407
2014;11/02/2014;7;201407
2014;12/02/2014;7;201407
2014;13/02/2014;7;201407
2014;14/02/2014;7;201407
2014;15/02/2014;7;201407
2014;16/02/2014;8;201408
2014;17/02/2014;8;201408
2014;18/02/2014;8;201408
2014;19/02/2014;8;201408
2014;20/02/2014;8;201408
2014;21/02/2014;8;201408
2014;22/02/2014;8;201408
2014;23/02/2014;9;201409
2014;24/02/2014;9;201409
2014;25/02/2014;9;201409
2014;26/02/2014;9;201409
2014;27/02/2014;9;201409
2014;28/02/2014;9;201409
2014;01/03/2014;9;201409
2014;02/03/2014;10;201410
2014;03/03/2014;10;201410
2014;04/03/2014;10;201410
2014;05/03/2014;10;201410
2014;06/03/2014;10;201410
2014;07/03/2014;10;201410
2014;08/03/2014;10;201410
2014;09/03/2014;11;201411
2014;10/03/2014;11;201411
2014;11/03/2014;11;201411
2014;12/03/2014;11;201411
2014;13/03/2014;11;201411
2014;14/03/2014;11;201411
2014;15/03/2014;11;201411
2014;16/03/2014;12;201412
2014;17/03/2014;12;201412
2014;18/03/2014;12;201412
2014;19/03/2014;12;201412
2014;20/03/2014;12;201412
2014;21/03/2014;12;201412
2014;22/03/2014;12;201412
2014;23/03/2014;13;201413
2014;24/03/2014;13;201413
2014;25/03/2014;13;201413
2014;26/03/2014;13;201413
2014;27/03/2014;13;201413
2014;28/03/2014;13;201413
2014;29/03/2014;13;201413
2014;30/03/2014;14;201414
2014;31/03/2014;14;201414
2014;01/04/2014;14;201414
2014;02/04/2014;14;201414
2014;03/04/2014;14;201414
2014;04/04/2014;14;201414
2014;05/04/2014;14;201414
2014;06/04/2014;15;201415
2014;07/04/2014;15;201415
2014;08/04/2014;15;201415
2014;09/04/2014;15;201415
2014;10/04/2014;15;201415
2014;11/04/2014;15;201415
2014;12/04/2014;15;201415
2014;13/04/2014;16;201416
2014;14/04/2014;16;201416
2014;15/04/2014;16;201416
2014;16/04/2014;16;201416
2014;17/04/2014;16;201416
2014;18/04/2014;16;201416
2014;19/04/2014;16;201416
2014;20/04/2014;17;201417
2014;21/04/2014;17;201417
2014;22/04/2014;17;201417
2014;23/04/2014;17;201417
2014;24/04/2014;17;201417
2014;25/04/2014;17;201417
2014;26/04/2014;17;201417
2014;27/04/2014;18;201418
2014;28/04/2014;18;201418
2014;29/04/2014;18;201418
2014;30/04/2014;18;201418
2014;01/05/2014;18;201418
2014;02/05/2014;18;201418
2014;03/05/2014;18;201418
2014;04/05/2014;19;201419
2014;05/05/2014;19;201419
2014;06/05/2014;19;201419
2014;07/05/2014;19;201419
2014;08/05/2014;19;201419
2014;09/05/2014;19;201419
2014;10/05/2014;19;201419
2014;11/05/2014;20;201420
2014;12/05/2014;20;201420
2014;13/05/2014;20;201420
2014;14/05/2014;20;201420
2014;15/05/2014;20;201420
2014;16/05/2014;20;201420
2014;17/05/2014;20;201420
2014;18/05/2014;21;201421
2014;19/05/2014;21;201421
2014;20/05/2014;21;201421
2014;21/05/2014;21;201421
2014;22/05/2014;21;201421
2014;23/05/2014;21;201421
2014;24/05/2014;21;201421
2014;25/05/2014;22;201422
2014;26/05/2014;22;201422
2014;27/05/2014;22;201422
2014;28/05/2014;22;201422
2014;29/05/2014;22;201422
2014;30/05/2014;22;201422
2014;31/05/2014;22;201422
2014;01/06/2014;23;201423
2014;02/06/2014;23;201423
2014;03/06/2014;23;201423
2014;04/06/2014;23;201423
2014;05/06/2014;23;201423
2014;06/06/2014;23;201423
2014;07/06/2014;23;201423
2014;08/06/2014;24;201424
2014;09/06/2014;24;201424
2014;10/06/2014;24;201424
2014;11/06/2014;24;201424
2014;12/06/2014;24;201424
2014;13/06/2014;24;201424
2014;14/06/2014;24;201424
2014;15/06/2014;25;201425
2014;16/06/2014;25;201425
2014;17/06/2014;25;201425
2014;18/06/2014;25;201425
2014;19/06/2014;25;201425
2014;20/06/2014;25;201425
2014;21/06/2014;25;201425
2014;22/06/2014;26;201426
2014;23/06/2014;26;201426
2014;24/06/2014;26;201426
2014;25/06/2014;26;201426
2014;26/06/2014;26;201426
2014;27/06/2014;26;201426
2014;28/06/2014;26;201426
2014;29/06/2014;27;201427
2014;30/06/2014;27;201427
2014;01/07/2014;27;201427
2014;02/07/2014;27;201427
2014;03/07/2014;27;201427
2014;04/07/2014;27;201427
2014;05/07/2014;27;201427
2014;06/07/2014;28;201428
2014;07/07/2014;28;201428
2014;08/07/2014;28;201428
2014;09/07/2014;28;201428
2014;10/07/2014;28;201428
2014;11/07/2014;28;201428
2014;12/07/2014;28;201428
2014;13/07/2014;29;201429
2014;14/07/2014;29;201429
2014;15/07/2014;29;201429
2014;16/07/2014;29;201429
2014;17/07/2014;29;201429
2014;18/07/2014;29;201429
2014;19/07/2014;29;201429
2014;20/07/2014;30;201430
2014;21/07/2014;30;201430
2014;22/07/2014;30;201430
2014;23/07/2014;30;201430
2014;24/07/2014;30;201430
2014;25/07/2014;30;201430
2014;26/07/2014;30;201430
2014;27/07/2014;31;201431
2014;28/07/2014;31;201431
2014;29/07/2014;31;201431
2014;30/07/2014;31;201431
2014;31/07/2014;31;201431
2014;01/08/2014;31;201431
2014;02/08/2014;31;201431
2014;03/08/2014;32;201432
2014;04/08/2014;32;201432
2014;05/08/2014;32;201432
2014;06/08/2014;32;201432
2014;07/08/2014;32;201432
2014;08/08/2014;32;201432
2014;09/08/2014;32;201432
2014;10/08/2014;33;201433
2014;11/08/2014;33;201433
2014;12/08/2014;33;201433
2014;13/08/2014;33;201433
2014;14/08/2014;33;201433
2014;15/08/2014;33;201433
2014;16/08/2014;33;201433
2014;17/08/2014;34;201434
2014;18/08/2014;34;201434
2014;19/08/2014;34;201434
2014;20/08/2014;34;201434
2014;21/08/2014;34;201434
2014;22/08/2014;34;201434
2014;23/08/2014;34;201434
2014;24/08/2014;35;201435
2014;25/08/2014;35;201435
2014;26/08/2014;35;201435
2014;27/08/2014;35;201435
2014;28/08/2014;35;201435
2014;29/08/2014;35;201435
2014;30/08/2014;35;201435
2014;31/08/2014;36;201436
2014;01/09/2014;36;201436
2014;02/09/2014;36;201436
2014;03/09/2014;36;201436
2014;04/09/2014;36;201436
2014;05/09/2014;36;201436
2014;06/09/2014;36;201436
2014;07/09/2014;37;201437
2014;08/09/2014;37;201437
2014;09/09/2014;37;201437
2014;10/09/2014;37;201437
2014;11/09/2014;37;201437
2014;12/09/2014;37;201437
2014;13/09/2014;37;201437
2014;14/09/2014;38;201438
2014;15/09/2014;38;201438
2014;16/09/2014;38;201438
2014;17/09/2014;38;201438
2014;18/09/2014;38;201438
2014;19/09/2014;38;201438
2014;20/09/2014;38;201438
2014;21/09/2014;39;201439
2014;22/09/2014;39;201439
2014;23/09/2014;39;201439
2014;24/09/2014;39;201439
2014;25/09/2014;39;201439
2014;26/09/2014;39;201439
2014;27/09/2014;39;201439
2014;28/09/2014;40;201440
2014;29/09/2014;40;201440
2014;30/09/2014;40;201440
2014;01/10/2014;40;201440
2014;02/10/2014;40;201440
2014;03/10/2014;40;201440
2014;04/10/2014;40;201440
2014;05/10/2014;41;201441
2014;06/10/2014;41;201441
2014;07/10/2014;41;201441
2014;08/10/2014;41;201441
