SE;id;Cod_cidade;cods_ride.local;cods_ride.Cod estacao;casos_est;casos_est_min;casos_est_max;casos;p_rt1;p_inc100k;nivel;Rt;pop;receptivo;transmissao;nivel_inc;Sum of historico_inmet.Sum of PRECIPITA?€O TOTAL, HORæRIO (mm);Sum of historico_inmet.Average of TEMPERATURA DO AR - BULBO SECO, HORARIA (›C);Sum of historico_inmet.Average of TEMPERATURA MæXIMA NA HORA ANT. (AUT) (›C);Sum of historico_inmet.Average of TEMPERATURA M™NIMA NA HORA ANT. (AUT) (›C);Sum of historico_inmet.Average of UMIDADE RELATIVA DO AR, HORARIA (%)
202242;520530720224219684;520530;Cavalcante;A024;0;0;0;0;0;0;1;0;97250;0;0;0;0;23,49166667;24,37380952;22,62261905;42,73214286
202227;520530720222719684;520530;Cavalcante;A024;0;0;0;0;0;0;1;0;97250;0;0;0;0;22,5;23;21,9;46,33333333
202226;520530720222619684;520530;Cavalcante;A024;0;0;0;0;0;0;1;0;97250;0;0;0;0;17,22743902;18,17682927;16,17682927;59,03658537
202225;520530720222519684;520530;Cavalcante;A024;0;0;0;0;0;0;1;0;97250;0;0;0;0;18,11796407;19,11017964;17,16347305;59,82634731
202224;520530720222419684;520530;Cavalcante;A024;0;0;0;0;0;0;1;0;97250;0;0;0;0;19,23214286;20,20238095;18,34285714;63,86309524
202223;520530720222319684;520530;Cavalcante;A024;0;0;0;0;0;0;1;0;97250;0;0;0;0;18,70119048;19,64880952;17,7172619;58,88690476
202222;520530720222219684;520530;Cavalcante;A024;0;0;0;0;0;0;1;0;97250;0;0;0;0;19,33392857;20,33452381;18,28630952;52,70238095
202221;520530720222119684;520530;Cavalcante;A024;0;0;0;0;0;0;1;0;97250;0;0;0;0;17,98511905;18,76547619;17,18333333;63,98809524
202220;520530720222019684;520530;Cavalcante;A024;0;0;0;0;0;0;1;0;97250;0;0;0;0;17,0797619;18,06845238;16,1172619;65,28571429
202219;520530720221919684;520530;Cavalcante;A024;0;0;0;0;0;0;1;0;97250;0;0;0;0;19,63809524;20,46607143;18,80833333;64,73809524
